OBJECTID_12_13 *,Shape *,num,name,loc1,loc2,lat,long,EMD_CD
142,Point,177,북가좌 초등학교,서대문구,서울특별시 서대문구 거북골로19길 20,37.577675,126.909805,11410119
143,Point,199,서울 월드컵 경기장,마포구,서울특별시 마포구 성산동 515,37.566845,126.896446,11440125
144,Point,202,국민일보 앞,영등포구,서울특별시 영등포구 여의공원로 101,37.528816,126.92453,11560110
145,Point,204,국회의사당역 5번출구 옆,영등포구,서울특별시 영등포구 의사당대로 8,37.528164,126.917023,11560110
146,Point,206,KBS 앞,영등포구,서울특별시 영등포구 여의공원로 13,37.524666,126.918022,11560110
147,Point,242,신길선원가와인아파트 앞,영등포구,서울특별시 영등포구 신길동 215-28 ,37.510933,126.910225,11560118
148,Point,243,이앤씨드림타워 앞,영등포구,서울특별시 영등포구 양평동3가 48-1,37.527084,126.89138,11560127
149,Point,245,삼성생명 당산사옥 앞,영등포구,서울특별시 영등포구 당산동4가 35-24 ,37.528263,126.896629,11560114
150,Point,272,당산육갑문,영등포구,서울특별시 영등포구 당산로52길 3,37.535339,126.903679,11560116
151,Point,275,신동아아파트,영등포구,서울특별시 영등포구 선유서로 76,37.522221,126.885582,11560125
152,Point,277,영등포뉴타운지하상가 2번게이트,영등포구,서울특별시 영등포구 영중로 22,37.520119,126.905167,11560106
153,Point,278,쌍용플레티넘오피스텔,영등포구,서울특별시 영등포구 도영로 18,37.507931,126.895233,11560118
154,Point,279,영등포 푸르지오 아파트,영등포구,서울특별시 영등포구 도신로29길 28,37.513229,126.904465,11560101
155,Point,280,양평동6차현대아파트 앞,영등포구,양평동 3가 80-9,37.532101,126.89444,11560127
156,Point,281,신동아아파트 앞,영등포구,가마산로 311 앞 복개천 보도,37.498241,126.893982,11530102
157,Point,283,아크로타워 스퀘어(영등포시장),영등포구,영등포구 영등포동7가 3-2,37.522518,126.907219,11560108
158,Point,285,대림3동사거리(하나은행),영등포구,가마산로 343,37.499859,126.89724,11560133
159,Point,286,우성아파트 교차로,영등포구,대림로 153 ,37.494572,126.89975,11560133
160,Point,287,영등포전화국사거리 (서강어린이공원),영등포구,영등포동8가 29-1,37.525768,126.905739,11560109
161,Point,288,쌍용예가(구청별관),영등포구,당산로31길 32 서측(구청별관 주변),37.528099,126.893387,11560113
162,Point,289,대림3동사거리,영등포구,가마산로 352 커피베이 앞,37.499809,126.898003,11560133
163,Point,290,당산동 SK V1 빌딩,영등포구,영등포구 당산동4가 89-1,37.531509,126.897827,11560114
164,Point,291,문래동 하이테크 시티,영등포구,영등포구 문래동3가 55-21,37.513851,126.89888,11560121
165,Point,292,영일 어린이공원,영등포구,영등포구 영등포동 647-3,37.51012,126.904068,11560101
166,Point,293,충북 미래관,영등포구,영등포구 당산동 121-258,37.529171,126.907578,11560117
167,Point,295,영등포공원 분수대 앞,영등포구,영등포구 신길로 275,37.514812,126.911705,11560101
168,Point,296,KT플라자 영등포점,영등포구,영등포구 영중로 119,37.526302,126.90538,11560109
169,Point,297,국회3문,영등포구,영등포구 여의동로 330,37.528637,126.912674,11560110
170,Point,298,KBS 연구동 건너편,영등포구,영등포구 여의도동 1-877,37.527508,126.914299,11560110
171,Point,299,여의도 순복음교회,영등포구,영등포구 여의도동 8,37.531792,126.922455,11560110
172,Point,302,경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130,37.575947,126.97406,11110107
173,Point,303,광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189,37.57177,126.974663,11110117
174,Point,306,광화문역 7번출구 앞,종로구,서울특별시 종로구 세종대로 지하172,37.570808,126.976433,11110119
175,Point,307,서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55,37.57,126.9711,11110121
176,Point,314,국립현대미술관,종로구,서울특별시 종로구 삼청로 30,37.579708,126.980858,11110142
177,Point,318,광교사거리 남측,중구,서울특별시 중구 청계천로 30,37.568634,126.982315,11140102
178,Point,320,을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55,37.566223,126.983589,11140105
179,Point,321,KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66,37.565464,126.984139,11140105
180,Point,322,명동성당 앞,중구,서울특별시 중구 명동길 74,37.564476,126.986969,11140131
181,Point,324,신세계백화점 본점 앞,중구,서울특별시 중구 퇴계로 77,37.561432,126.980698,11140124
182,Point,326,안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62,37.576241,126.98616,11110134
183,Point,327,낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428,37.573357,126.987465,11110137
184,Point,328,탑골공원 앞,종로구,서울특별시 종로구 종로 99,37.570396,126.98819,11110138
185,Point,329,청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93,37.568485,126.987885,11110135
186,Point,331,을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79,37.566383,126.987206,11140105
187,Point,334,종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129,37.570599,126.991791,11110156
188,Point,335,종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129,37.570198,126.991257,11110156
189,Point,336,티마크 호텔 앞,중구,서울특별시 중구 충무로 15,37.561462,126.993111,11140137
190,Point,337,창경궁 입구,종로구,서울특별시 종로구 창경궁로 185,37.578979,126.996475,11110130
191,Point,338,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109,37.570957,126.997124,11110161
192,Point,339,종로4가 사거리,종로구,서울특별시 종로구 종로 185,37.571068,126.998192,11110161
193,Point,340,혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1,37.585629,127.000679,11110169
194,Point,341,혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120,37.58157,127.001785,11110172
195,Point,342,대학로 마로니에공원,종로구,서울특별시 종로구 대학로 105,37.579784,127.002533,11110168
196,Point,343,예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 율곡로 238,37.575432,127.004982,11110167
197,Point,345,서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29,37.573307,127.000709,11110160
198,Point,347,동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230,37.565331,127.007843,11140149
199,Point,348,독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1,37.572029,126.960785,11110180
200,Point,349,사직동주민센터,종로구,서울특별시 종로구 사직로9길 5,37.576332,126.96859,11110115
201,Point,351,청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22,37.585079,126.970619,11110101
202,Point,353,재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19,37.579388,126.984947,11110147
203,Point,354,포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3,37.579155,126.98896,11110149
204,Point,358,성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234,37.5825,126.998535,11110172
205,Point,359,원남동사거리,종로구,서울특별시 종로구 율곡로 169,37.576061,126.997681,11110159
206,Point,361,동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39,37.573242,127.015907,11110175
207,Point,362,청계8가 사거리,종로구,서울특별시 종로구 청계천로 407,37.572224,127.022705,11110175
208,Point,363,신설동역 11번출구 뒤,종로구,서울특별시 종로구 숭인동 1311,37.575592,127.02285,11110175
209,Point,364,창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87,37.579334,127.015083,11110174
210,Point,367,독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7,37.573849,126.958694,11110187
211,Point,368,SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2,37.569248,126.980537,11110123
212,Point,369,광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5,37.575493,126.9785,11110119
213,Point,370,시청역(2호선) 9번출구 뒤,중구,서울특별시 중구 서소문로 지하127,37.563229,126.974838,11140166
214,Point,371,동대입구역 6번출구 뒤,중구,서울특별시 중구 동호로 지하256,37.558872,127.005539,11140144
215,Point,372,약수역 3번출구 뒤,중구,서울특별시 중구 다산로 지하122,37.554295,127.0112,11140162
216,Point,374,청구역 2번출구 앞,중구,서울특별시 중구 청구로 지하77,37.560474,127.014076,11140162
217,Point,379,서울역9번출구,중구,서울특별시 중구 세종대로 지하2,37.556,126.973358,11140120
218,Point,382,약수역 10번출구 앞,중구,서울특별시 중구 신당동 357-1,37.555199,127.010048,11140162
219,Point,385,종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1,37.569836,126.982658,11110123
220,Point,387,훈련원공원주차장 앞,중구,서울특별시 중구 을지로 227,37.566994,127.003464,11140151
221,Point,388,동성중학교 앞,종로구,서울특별시 종로구 혜화동 56,37.585735,127.00161,11110169
222,Point,389,을지로4가역 1번출구,중구,서울특별시 중구 을지로 지하 178,37.56673,126.996605,11140150
223,Point,390,충무로역 1번출구,중구,서울특별시 중구 퇴계로 212,37.56139,126.995354,11140132
224,Point,391,시립미술관,중구,서울특별시 중구 세종대로19길 17,37.565052,126.973404,11140166
225,Point,398,을지로3가역 3번출구,중구,중구 을지로3가 282-8 ,37.566559,126.992439,11140155
226,Point,401,상암월드컵파크 10단지 앞,마포구,서울특별시 마포구 월드컵북로 502-36,37.586189,126.881615,11440127
227,Point,402,상암월드컵파크 9단지 앞,마포구,서울특별시 마포구 월드컵북로 501,37.582855,126.879822,11440127
228,Point,403,부엉이공원 앞,마포구,서울특별시 마포구 가양대로 189,37.58559,126.884727,11440127
229,Point,405,DMC빌 앞,마포구,서울특별시 마포구 월드컵북로60길 13,37.582657,126.885788,11440127
230,Point,406,상암월드컵파크 7단지 앞,마포구,서울특별시 마포구 상암산로1길 92,37.581314,126.880585,11440127
231,Point,407,마포구 육아종합지원센터,마포구,서울특별시 마포구 상암산로1길 71,37.580631,126.883675,11440127
232,Point,408,LG CNS앞,마포구,서울특별시 마포구 월드컵북로 424,37.580811,126.88665,11440127
233,Point,409,누리꿈스퀘어 옆,마포구,서울특별시 마포구 월드컵북로 396,37.579399,126.88916,11440127
234,Point,410,상암중학교 옆,마포구,서울특별시 마포구 상암산로1길 26,37.577496,126.887772,11440127
235,Point,411,DMC홍보관,마포구,서울특별시 마포구 월드컵북로 366,37.577995,126.891472,11440127
236,Point,413,상암월드컵파크 3단지 후문,마포구,서울특별시 마포구 매봉산로 8,37.571476,126.889687,11440127
237,Point,414,상암동주민센터 옆,마포구,서울특별시 마포구 매봉산로2길 16,37.57822,126.89447,11440127
238,Point,415,DMC역 9번출구 앞,마포구,서울특별시 마포구 성암로 지하184,37.577469,126.897362,11440127
239,Point,416,상암월드컵파크 1단지 교차로,마포구,서울특별시 마포구 월드컵북로 502-7,37.575665,126.894447,11440127
240,Point,417,DMC역 2번출구 옆,마포구,서울특별시 은평구 수색로 지하175,37.575069,126.899918,11440127
241,Point,418,월드컵경기장역 3번출구 옆,마포구,서울특별시 마포구 월드컵로 지하240,37.570721,126.898979,11440125
242,Point,419,홈플러스 앞,마포구,서울특별시 마포구 월드컵로 240,37.56842,126.899429,11440125
243,Point,420,서울시 공공자전거 상암센터,마포구,서울특별시 마포구 월드컵북로47길 10,37.566246,126.896179,11440125
244,Point,421,마포구청 앞,마포구,서울특별시 마포구 월드컵로 212,37.565746,126.901863,11440125
245,Point,422,문화비축기지,마포구,서울특별시 마포구 증산로 87,37.568977,126.894402,11440125
246,Point,424,롯데하이마트 (상암월드컵점),마포구,서울특별시 상암동 1715-29,37.57362,126.898048,11440127
247,Point,425,DMC첨단산업센터,마포구,서울특별시 마포구 성암로330,37.584503,126.885597,11440127
248,Point,426,서울신용보증재단,마포구,서울특별시 마포구 마포대로 163,37.549061,126.954178,11440102
249,Point,427,성산시영아파트,마포구,서울특별시 마포구 월드컵북로 260,37.569584,126.903816,11440125
250,Point,428,명보사거리,중구,중구 초동 22-2 ,37.5644,126.991432,11140159
251,Point,429,송도병원,중구,중구 신당동 432-730,37.549889,127.007347,11140162
252,Point,430,KEB하나은행 장충동지점,중구,중구 장충동1가 26-1,37.562172,127.006264,11140143
253,Point,431,청계천 영도교,중구,중구 황학동 2472-1 ,37.571014,127.019745,11140165
254,Point,432,마포중앙도서관,마포구,마포구 성산로 128,37.563339,126.908203,11440125
