OBJECTID_12_13 *,Shape *,num,name,loc1,loc2,lat,long,EMD_CD,1월 합계,2월 합계,3월 합계,4월 합계,5월 합계,6월 합계
42,Point,161,무악재역1번 출구,서대문구,서울특별시 서대문구 통일로 380-4,37.582245,126.950645,11410111,976,951,1988,3853,4766,3646
43,Point,162,봉원고가차도 밑,서대문구,서울특별시 서대문구 대신동 143-1,37.565269,126.946243,11410113,1016,964,2292,4207,4999,4018
44,Point,164,북가좌1동 주민센터,서대문구,서울특별시 서대문구 북가좌동 477-1,37.574478,126.910049,11410119,719,719,1499,2463,3021,2665
45,Point,165,중앙근린공원,서대문구,서울특별시 서대문구 북가좌동 470-1,37.575138,126.91394,11410120,461,393,665,1117,1328,1090
46,Point,166,가재울 초등학교,서대문구,서울특별시 서대문구 연희동 530,37.573818,126.919235,11410120,950,782,1458,2267,2804,2513
47,Point,167,연가초등학교 옆,서대문구,서울특별시 서대문구 북가좌동 70-119,37.57946,126.91713,11410120,1132,1031,1795,3073,4035,3507
48,Point,169,북가좌 삼거리,서대문구,서울특별시 서대문구 북가좌동 400,37.573002,126.907799,11410119,468,458,816,1212,1434,1286
49,Point,170,DMC파크뷰자이아파트 302동 앞,서대문구,서울특별시 서대문구 남가좌동 124,37.573112,126.922447,11410120,376,365,670,1050,1243,1098
50,Point,173,서대문역 8번출구 앞,서대문구,서울특별시 서대문구 충정로2가 138,37.564777,126.966148,11410101,754,712,1227,2072,2581,2124
51,Point,178,증산3교 앞,서대문구,서울특별시 서대문구 북가좌동 352-9,37.579876,126.906349,11410119,318,318,563,754,701,486
52,Point,179,가좌역 4번출구 앞,서대문구,서울특별시 서대문구 남가좌동 293-3 ,37.569122,126.914795,11410120,258,224,505,849,835,750
53,Point,180,충정로역 7번출구 아래,서대문구,서울특별시 서대문구 충정로3가 56-1,37.559967,126.962463,11410102,150,218,398,556,546,425
54,Point,181,망원초록길 입구,마포구,서울특별시 마포구 마포나루길 467,37.551342,126.902672,11440123,540,579,933,1251,1394,1252
55,Point,182,망원2빗물펌프장 앞,마포구,서울특별시?마포구?동교로?8,37.551365,126.903061,11440123,144,154,362,676,848,609
56,Point,183,하늘채코오롱아파트 건너편,마포구,서울특별시 마포구 연남로 30,37.565166,126.919395,11440124,227,204,410,569,621,512
57,Point,184,7번가피자 서교망원점,마포구,서울특별시 마포구 월드컵로 119,37.558949,126.907753,11440125,592,563,994,1552,1855,1549
58,Point,185,마포 신수공원 앞,마포구,서울특별시 마포구 현석동 106-32,37.542545,126.934296,11440112,593,634,1171,1877,2362,2161
59,Point,186,월드컵공원,마포구,서울특별시 마포구 하늘공원로 108-1,37.563965,126.898209,11440125,450,411,675,862,797,717
60,Point,188,홍은동 정원여중 입구,서대문구,서울특별시 서대문구 연희로37안길 51,37.586388,126.935127,11410118,279,300,440,641,792,643
61,Point,191,서우빌딩,서대문구,서울특별시 서대문구 응암로 66,37.578892,126.910736,11410119,487,426,763,1247,1658,1395
62,Point,192,연서어린이공원,서대문구,서울특별시 서대문구 연희동 519-7,37.572227,126.923065,11410117,314,332,467,609,465,451
63,Point,194,증산교 앞,서대문구,서울특별시 서대문구 불광천길 36,37.577316,126.902969,11410119,355,378,459,637,583,422
64,Point,195,모래내고가차도,서대문구,서울특별시 서대문구 연희동 446-76,37.567657,126.917809,11410117,985,1012,1639,2547,3057,2326
65,Point,196,연희교차로 인근,서대문구,서울특별시 서대문구 홍제천로 48,37.56612,126.925896,11410117,715,699,1677,2555,3535,2933
66,Point,198,충정2교,서대문구,서울특별시 서대문구 충정로3가 155-4,37.562138,126.963776,11410102,375,368,579,942,1118,1133
67,Point,200,국회의원회관,영등포구,서울특별시 영등포구 의사당대로 1,37.528416,126.913917,11560110,667,686,1115,1765,2317,1913
68,Point,201,진미파라곤 앞,영등포구,서울특별시 영등포구 국회대로76길 10,37.531239,126.921333,11560110,797,747,1213,1822,2192,1874
69,Point,203,국회의사당역 3번출구 옆,영등포구,서울특별시 영등포구 국회대로 지하758,37.528057,126.918701,11560110,485,437,816,1248,1288,1035
70,Point,205,산업은행 앞,영등포구,서울특별시 영등포구 의사당대로 97,37.526264,126.920509,11560110,448,438,1365,2725,2777,1848
71,Point,207,여의나루역 1번출구 앞,영등포구,서울특별시 영등포구 여의동로 지하343,37.527157,126.9319,11560110,351,393,1003,2224,2360,1553
72,Point,209,유진투자증권빌딩 앞,영등포구,서울특별시 영등포구 국제금융로 24,37.524612,126.927834,11560110,1144,1117,1880,2875,3435,2880
73,Point,211,여의도역 4번출구 옆,영등포구,서울특별시 영등포구 국회대로68길 7,37.522228,126.924637,11560110,1239,1238,2023,3490,4247,3672
74,Point,212,여의도역 1번출구 옆,영등포구,서울특별시 영등포구 의사당대로 88,37.521362,126.923462,11560110,529,473,928,1415,1501,1042
