대여일자,구로동,당산동,당산동1가,당산동2가,당산동3가,당산동4가,당산동5가,당산동6가,대림동,도림동,문래동3가,문래동4가,문래동5가,문래동6가,신길동,양평동1가,양평동2가,양평동3가,양평동4가,양평동5가,양화동,여의도동,영등포동,영등포동1가,영등포동2가,영등포동4가,영등포동7가,영등포동8가
"""2022-06-11""",-12.470025397777665,-79.83558135425523,5.633530656321518,8.823420076697673,-111.95307302941642,-129.79747139195337,-20.699651344421426,-171.87270513387006,-68.09206690555241,-81.31935705528373,-75.52134677896468,-39.308881261917485,-26.54306400491526,-53.72471314798344,-221.4529680102607,-14.203975040433292,-57.23508643985506,-158.7876450062409,-79.50168265888567,-100.18265131284525,-81.97936773735313,-1606.6119445723398,-69.8000584005862,-46.674832624702226,-52.55133367532605,-79.49360347645244,-61.94262931938334,-64.02021797947961
"""2022-06-12""",17.066287960837247,-29.304560248842648,-16.036006170811635,0.6185114388951103,51.52051732193206,-1.1594285838239102,-153.54419055349737,-356.52515270617437,-33.35698129377903,-82.41718023942241,16.54125356358351,-1.14009314815074,56.54304412357679,-90.00735236962748,-93.06263740756987,-50.399145551661285,-72.35046281434427,63.845732070819224,-158.9075716154506,-54.817510021742564,-163.96917392903018,-1489.9684987834603,-118.35825405542543,-67.41446984647536,11.95002600448553,-42.33820230109585,-25.716154062550117,-32.71043576034448
"""2022-06-13""",-17.10071385204024,53.76922197856181,23.253268351601086,9.238210610172967,51.6622904986812,50.7709140367254,167.3009509060205,267.37772935089913,72.52394904433862,105.61600292439469,-46.363404455521405,-7.276315472736567,-39.7681563991254,70.17813951220789,307.30977820722256,48.21149243738003,18.74732274300483,37.38205850628434,120.60471445645564,77.37216294750431,70.48672431914255,933.4774048211298,131.9048693514438,49.843454918673004,-7.702122182729973,81.79496185328752,106.19233326565264,72.30224738159387
"""2022-06-14""",14.231805969001549,-2.5859851108542244,25.532746930555014,-3.5132279703292184,24.142940150971896,112.31957596308752,-0.5059532557278459,80.12522671469497,33.406219612355386,52.96852783438045,88.6859708475446,34.743196365456065,30.437573249647166,72.38521666360897,32.530970744674505,-20.85973234961547,99.34245926319088,35.17597726163345,23.557660054194443,35.01134208075938,83.9259254458366,635.358760883603,52.869539511487844,39.171715828855895,14.140343654813925,-53.78213360237621,-2.5613430349119,35.72740284903918
"""2022-06-15""",19.18824154107698,75.2649626221345,2.8914095506483832,50.65249817769374,232.28554181363307,397.9747543673004,120.65649518830912,-108.5561445161956,186.97792509925597,41.752280076955586,257.8078325488858,67.55877629172264,48.582473307327916,169.89676720183866,427.35522308130146,181.25341706899795,72.13579010284573,262.2130922982919,62.34693455945521,164.86284284189261,-81.1364831051586,1744.1941979115659,49.052657996379594,43.10877030881298,41.76187012340739,5.905938276461427,101.30339984465027,73.40472818918296
"""2022-06-16""",-9.951181271220687,-46.183907838146496,-16.345136707906605,-34.388775926588224,-168.11904200537242,-301.2331731904147,-52.719258093858485,122.21055083116255,-109.95811803528699,-2.375417689104154,-148.24572549861966,-47.55700122903238,-25.236430212213634,-93.1453690079812,-255.7842939502493,-100.33717789107743,-30.367296663124144,-128.96122100061802,27.60240234323885,-85.17605428892,76.4593902569035,-139.15016498245745,-5.657125873075444,19.01962388812082,0.9653243862060279,36.44195008349084,-46.89262754011639,-62.73759202954378
"""2022-06-17""",-12.570918306275168,-11.643141505665255,-10.26649489594065,-25.93216495640548,-107.613715672057,-181.76155799543864,-77.56101086409643,50.53774816449922,-65.55203296507239,-41.39233789811988,-138.02220886613685,-4.0640908904344,-44.882754097355864,-104.4035977976041,-209.15133508240015,-31.305118722558177,-64.96106781253926,-215.5792393022263,-38.73797648894737,-62.68830315453772,53.89208788774091,-543.5783778542755,-79.45804190279955,-52.56549651939028,-28.138194228683375,-39.652560179433806,-76.78090696683958,-56.28127848042209
"""2022-06-18""",-2.6290234858682844,-6.244347237652107,-14.112783763157836,16.290266117604837,30.86853457148507,61.009015809583616,46.25361218917248,68.26061298961814,11.681359020011854,21.040240327068048,77.06058725479929,21.003521490382603,28.008028645054438,18.425583139224074,37.26045222209794,-17.86148863641076,31.02195173018883,86.11668354981599,23.73500387705721,22.677147716702365,2.1986698836153877,178.90454084057313,24.854270141072178,-38.101985131542264,19.827661881184312,143.57079209925706,31.464073708727256,19.79292072795763
"""2022-06-19""",7.556680725272974,-11.805775941277197,1.30025541445535,13.417446038068562,7.838065365470641,5.703270475064755,-0.9236817136901436,-293.9175052755693,-18.312488592846023,-48.77889558871142,-59.593940207492736,-43.89306398793717,-8.991993064017088,15.275640889825112,-88.43047794478102,3.5277282699560217,-21.29126078802586,-14.605012993019969,-110.43605630694344,-47.95566269202517,-119.34818105821772,-1333.2468619162441,-98.54898899231974,18.79566574198669,-23.504293365397544,-83.93799696958108,-17.2432089036636,-17.34494717819793
"""2022-06-20""",-6.860963088134417,-1.73742667839214,15.092401147319574,-23.963854170621012,-4.9561989169580265,-56.083240404081124,-81.91268142501092,42.89695082234681,-51.54170794219022,-71.42071468805952,-55.93402108837189,-12.832889545782429,-6.834181869300604,-86.92059503536127,-48.15348135108705,-57.77277239324192,-67.26431328124563,-11.972335621516962,3.7178201675198963,-43.406678274444545,-24.279578887353487,-321.40471687066884,21.702037414305593,-53.92801544302344,-11.931190540701376,-67.88728468988853,-17.097334167586325,-37.34102741517013
