대여일자,개포동,논현동,대치동,도곡동,삼성동,세곡동,수서동,신사동,압구정동,양재동,역삼동,율현동,일원동,자곡동,청담동
"""2022-06-20""",133.86704232470913,-62.59684299099404,31.621489946200732,22.618601242197165,-373.55074374086837,6.982793182265567,-7.6270222536715835,-23.546040365192667,30.799193060673538,3.072142810856878,-11.884584854337021,11.57146939687697,14.460739378446501,11.768665399591772,3.162681492053858
"""2022-06-21""",76.3805427789147,6.921580767150527,-69.87997897521649,-60.429863336901576,-256.790790409732,-14.345382307303682,-13.770622011994302,-116.78375995630932,-191.89322144260174,10.952173551846347,21.948692259007103,-5.219128453032507,-19.726355708180808,-33.105472775445094,-33.2781794935666
"""2022-06-22""",115.56004227330158,94.68796680484334,-10.30060340273073,32.2099506383658,217.8094474067014,-22.07382519815889,15.983741120794427,40.53397109418176,-147.5410921167359,0.5331651941971352,231.2714594823296,1.4675096319540266,21.356547465780917,4.97938201421448,14.683280328266571
"""2022-06-23""",-166.13918378235974,-23.255320133064902,44.99658516049661,-6.024269233596172,-37.988393654346126,5.155928700487535,3.914859940830656,35.93633969773664,76.87992094781013,0.30212870420277227,-89.32601685150337,-18.297978252400796,-5.668108183494912,24.54059018852608,14.664258995838656
"""2022-06-24""",-33.606243020537605,-20.165422285086013,-10.146636099793788,-7.207585472382128,168.21062629334946,3.699622781135888,20.52344630608085,32.267578233936085,110.19612457617498,10.515595409554853,-117.15997250106503,9.209479573661493,-25.672047507588108,-9.79613378446735,-17.78974694200877
"""2022-06-25""",104.29665328412685,8.327105027222636,76.10911525572908,55.74663493897357,182.79142045505165,18.44453457301656,23.744104696055487,47.67447408673715,133.13400451586108,-6.367098399138867,91.16200764223103,16.367127452524212,48.11529401472704,18.106273230107863,27.885662703440325
"""2022-06-26""",-217.96225008406478,-67.5478511638226,-49.09924712531108,-51.91077653280456,-349.52318625542915,6.875610009075034,-59.43016730283944,-60.221642779175745,-17.590768475909623,-23.130778017857693,-137.29006153016888,-6.5159789992029715,-6.72759366992406,-5.5701223771271255,-23.228270580880412
"""2022-06-27""",-17.06871299944268,-9.299616611875052,-39.03455173757641,-52.119357695561725,-197.61454635543512,-8.287588507942885,-37.36257387013384,-50.19958156609228,-58.03049927563008,3.457943003410106,-122.7107592853385,-4.745763937530759,-25.609010774765842,-36.02241765344129,-29.752075249113787
"""2022-06-28""",36.30547531197204,75.30968551135692,11.474673967730922,34.08088838079925,171.41724406450862,-15.626574394638734,28.878225840174874,10.215924279739383,-137.51810998310035,7.595486078500264,219.72991868490536,-1.9558537670726963,-3.92769083071439,6.0944982199368205,22.13459397173824
"""2022-06-29""",189.62319910633747,53.19697170800035,7.029951194335666,66.42035633432322,244.85361324471666,-5.864393201366946,76.89359925435065,21.494316532317733,-70.67204913248469,22.683685668146406,191.5611445998412,1.0198183203033642,14.510962316747307,27.592397354908112,42.560678095471026
"""2022-06-30""",102.84019490716416,-33.814304490395784,17.21688251828357,-14.9307487618958,89.11445551175908,8.396522062134313,-24.50085573319825,8.457446194898573,120.39257925049475,1.4654929781444124,-110.73532101950605,-2.7523125299495717,-2.689222699257037,5.457579556910719,-14.67946576180971
